"","logFC","logCPM","PValue","FDR"
"Gadd45b",1.36984036735328,6.55143390433537,2.98794717427684e-09,4.58500493892782e-05
"Fosb",-3.6235150535646,3.08611491883108,1.24074441725037e-07,0.000951961154135343
"Alas2",-3.99384393004329,3.86029443631256,2.13896224180874e-07,0.00109407918668517
"Psca",12.9990923511797,3.90069031006478,3.19016268912321e-07,0.00122382616161489
"Zfp503",1.26803492006721,5.66733876624694,5.96605982872633e-07,0.00164176748305648
"Hist3h2a",1.1607351692375,4.70795363837263,6.41942319865682e-07,0.00164176748305648
"Xist",9.96911086046744,8.18579433880288,1.66556481475889e-06,0.00365115601178217
"Hist2h3c2",2.33087434943136,0.567083958584355,1.06562419907079e-05,0.0204400041684267
"D130040H23Rik",-2.01316394749782,0.406502064676076,1.56978947368294e-05,0.0267649105262941
"Ddx3y",-9.71960837415802,5.41856177254054,2.34999440943278e-05,0.036060664212746
"Pttg1",-1.48024925263323,5.56075650788208,2.70882498531035e-05,0.0377881085450794
"Gan",-2.89222401622813,1.57629678439826,3.0110515649941e-05,0.0385038218873621
"Mrs2",-1.13098251954465,3.81883961617155,3.50737985588605e-05,0.0414005722219781
"Fam171b",-3.34485634240013,-0.403687415387579,5.07656761723847e-05,0.0556428072046603
"Apol7c",6.67527251971171,-1.01429359493454,7.23815336819884e-05,0.0686888061289387
"Zfp26",-0.739520952644953,4.99163413546756,7.42871449200688e-05,0.0686888061289387
"Ankrd28",-1.08924150076483,4.56123459064057,7.60970807554224e-05,0.0686888061289387
"Uty",-10.3100174455535,3.43557866246636,9.22973177612674e-05,0.0769191312959623
"Eif2s3y",-9.67143329859123,5.06969438334725,9.75938765219813e-05,0.0769191312959623
"Btbd8",-2.60182690476989,-0.753273836889803,0.00010025302221696,0.0769191312959623
"Gk5",-3.00333436442433,0.600044296688243,0.000117348690022399,0.0837992517308319
"Kdm5d",-10.4365658170845,3.63325309376307,0.00012014229638829,0.0837992517308319
"Zfp442",-1.86005141127285,0.421348199638435,0.000147954564276187,0.0972678190834266
"Them6",1.50649660464846,4.71584678955013,0.000152129531313277,0.0972678190834266
"Ctse",-5.2429347999437,1.99285378260999,0.000170560761533014,0.104690195428964
"Dusp23",1.0210324771108,3.97153841403195,0.000200811456592847,0.115684391607469
"Beta-s",-3.03045075060384,8.60415793854611,0.000203550249162702,0.115684391607469
"Id3",1.19093608848853,7.08683914530644,0.000220516884880336,0.120851128517456
"Traf1",1.21783492388235,6.04617632542045,0.000252054905575145,0.130067242160686
"Gtpbp6",1.04487033960973,5.09452527870806,0.000254285908427538,0.130067242160686
"BC005561",-1.81122147925903,2.99663030193041,0.000275119337193731,0.136184071910897
"Dnajb3",1.48037076082555,0.46513050982254,0.00029418069222706,0.141068835069507
"Ugt1a6b",-2.92801535918753,0.889302419834289,0.0003154377543528,0.142676267295586
"S100pbp",-1.86285882335039,2.9629422394057,0.000323831066185802,0.142676267295586
"Slc7a11",-1.73816917760637,2.5527137796089,0.000325426481286772,0.142676267295586
"Rufy3",-1.73430306638453,2.84652477333041,0.000337701129099024,0.143945106278459
"Apold1",-2.61242051817162,2.90940255320996,0.000396844550823484,0.160560671612487
"C1galt1",-1.64758487289312,4.39482802007063,0.000397608701288662,0.160560671612487
"Appbp2",-1.20419018514405,4.31679670326918,0.000435139337611033,0.171210593221572
"Eif2c3",-2.24184345436337,3.07341829739724,0.000475009884534764,0.17710978288932
"Tmem41a",1.23671913641812,4.17035264414275,0.000477875128305406,0.17710978288932
"Thbs1",-2.32835118797165,8.55271014683819,0.000499156426557809,0.17710978288932
"Hoxb2",0.939722871065399,3.62578404558008,0.000499214846029193,0.17710978288932
"Tpra1",0.709248762086593,5.32676392975317,0.000519121139985638,0.17710978288932
"Snca",-2.06772762599937,1.99430770858662,0.000528428437327351,0.17710978288932
"Ublcp1",-0.978228246127085,5.02072225215576,0.000530925383702099,0.17710978288932
"Hcfc2",-0.901407656311669,3.997101715429,0.000589521765209315,0.178725130829835
"Eif2c2",-2.45810846100997,4.65748735503974,0.000594621939507551,0.178725130829835
"Zfp652",-1.42886587902526,4.44712043442313,0.000599088414888743,0.178725130829835
"Tnfrsf17",-2.41635466864584,-0.377142139967046,0.000611212931373518,0.178725130829835
"Adamts1",-1.71768588571281,6.85926111661181,0.000612758127981084,0.178725130829835
"Grpel1",-1.05729383565166,5.22323687783853,0.000627964614325266,0.178725130829835
"Gjc2",1.71134699635447,1.02092648263926,0.000635981598988944,0.178725130829835
"Ggps1",-0.969330769492928,4.95141402736202,0.000640389142979557,0.178725130829835
"Usp49",-1.4153548072725,3.03245416739955,0.000640591866773604,0.178725130829835
"Brwd3",-1.77709969159809,3.11091647009909,0.00066052318883458,0.180995148797618
"Srpk2",-0.96202557855176,6.47145185451616,0.000676723098183548,0.182180981432045
"Sik2",-1.74050195406666,3.76217829217695,0.00069218501560461,0.182358360047857
"Cdk6",-1.7473379682477,2.36459083815144,0.000701149771445003,0.182358360047857
"Rnasek",0.704008149837584,6.33192200800176,0.00072332902574628,0.184991398334611
"1700030C10Rik",2.17533853311275,0.456782132126441,0.000755645295242499,0.190057609877067
"Helz",-1.71383377645598,4.09882808688362,0.000770880281375189,0.190057609877067
"Rps6ka3",-2.05563109025312,4.51323181717455,0.000780295172515819,0.190057609877067
"Mob2",0.857206804478435,5.6968935694865,0.000814450203349051,0.191522432726889
"Egr1",-1.70532069394962,7.56946545341204,0.000827380297311956,0.191522432726889
"Isoc2b",1.5923798055648,3.3268001790179,0.000856189766546097,0.191522432726889
"March7",-1.0267559443462,5.51260536726316,0.000858124160533325,0.191522432726889
"Usp6nl",-0.957092955541654,5.36790780793049,0.000881768013165813,0.191522432726889
"Gcg",-10.3183918017475,1.12292901314079,0.000883190481538116,0.191522432726889
"Fgd4",-1.12710239401198,2.84068318719633,0.000888054393909541,0.191522432726889
"Nr4a3",-3.59636314319547,1.71301608983532,0.000897760973587214,0.191522432726889
"Zfp169",-1.7525568366051,2.16160035733128,0.000906230799245304,0.191522432726889
"Gm4961",5.12585707171425,-0.123530379642655,0.000916274889159913,0.191522432726889
"Zdhhc21",-0.75100987262367,5.43254899205223,0.000923601174440518,0.191522432726889
"A4galt",0.86580829876452,5.02037554611551,0.000947756029693682,0.191704850792923
"Thap2",-1.38209823049044,3.49615979792711,0.000949986928679437,0.191704850792923
"Ptplad2",-1.33038514364893,2.886332100803,0.00097514629046326,0.191704850792923
"Pef1",0.59740050634196,6.04124861736982,0.000986297625436629,0.191704850792923
"Tmem101",1.17080558898527,4.0137409885527,0.000986945794241832,0.191704850792923
"Impad1",-0.9440272083846,5.75956579177572,0.00105392127598077,0.202155274749062
"Hipk2",-2.9227902938561,3.88475152694175,0.00111881627171755,0.211953527030935
"Xpo4",-2.04122936523134,2.45565341375894,0.00113295478445784,0.212014526432995
"Npdc1",0.592162305323941,6.2613419285488,0.00117532971169435,0.217294390674095
"Sult2a1",7.89777482320949,-1.14889341441143,0.00126495524510522,0.227048840391409
"Ints6",-1.0765784023454,4.58805972208473,0.00126621638162717,0.227048840391409
"Rfx7",-0.835348856561757,5.11126249491843,0.00127247965289418,0.227048840391409
"Zdhhc2",-1.15246695817688,2.54833795416959,0.00129199695214231,0.227881531386479
"Klhl22",0.721389928092745,4.92969898895061,0.00132881908429974,0.231712827824767
"Gm14305",8.26461611729842,-0.11658255831997,0.00137220422504415,0.234661369874647
"Jrk",1.17614163434684,2.80064871871875,0.00137631301979265,0.234661369874647
"Tnpo1",-1.27530724520272,5.583835207394,0.00140993959341685,0.237753000670128
"Calm3",-0.949232439075259,7.50850539577854,0.00144590404996365,0.237870718133166
"Bmp2k",-1.09406074884208,4.87706492648114,0.00146546038438159,0.237870718133166
"Trpm2",-1.87559230626566,3.23688871351048,0.00147405469234944,0.237870718133166
"Dpysl2",1.25362232972791,6.92682897518369,0.00151372424022943,0.237870718133166
