gene	JK215	JK217	JK218	JK219	JK228	JK229	JK230	JK231
Xkr4	15	7	5	10	9	11	5	15
Rp1	154	305	56	122	20	31	162	99
Sox17	2046	2288	1202	1614	675	663	1514	982
Mrpl15	926	1180	522	943	1101	968	1000	717
Lypla1	2791	3623	1494	2783	2574	2407	2974	2216
Tcea1	1773	2519	1132	1853	1705	1694	1841	1354
Rgs20	7	11	3	7	6	3	14	4
Atp6v1h	2357	2653	1020	2210	2512	2133	2745	1910
Oprk1	0	0	0	0	0	0	0	0
Npbwr1	6	11	0	2	6	9	27	0
Rb1cc1	4355	4083	1994	3348	2890	2205	3903	3309
Fam150a	29	166	34	90	76	41	78	58
St18	5	8	5	7	8	18	9	4
Pcmtd1	4279	3999	2026	3417	2964	2564	3218	3122
Sntg1	0	1	0	0	0	1	0	0
Rrs1	891	744	293	542	1046	1091	927	711
Adhfe1	397	486	176	281	279	194	324	357
2610203C22Rik	221	260	181	165	73	24	128	82
3110035E14Rik	0	6	1	2	1	1	0	0
Mybl1	80	54	38	59	68	103	72	51
Vcpip1	1926	1720	770	1360	1874	2633	2216	1421
1700034P13Rik	1	8	0	1	1	1	3	1
Sgk3	1259	1130	645	1014	1338	1369	1804	939
Mcmdc2	11	16	3	3	5	7	8	8
Snhg6	253	472	168	268	412	366	317	177
Snord87	7	4	1	5	3	1	3	0
Ppp1r42	54	171	30	57	28	21	82	23
Cops5	1982	2799	1051	1846	2157	1974	2395	1488
Cspp1	1307	1869	651	1243	824	767	1348	1025
Arfgef1	6898	6284	2914	5179	4651	5522	6367	4583
Cpa6	0	0	0	0	0	0	0	0
Mir467e	0	0	0	0	0	0	0	0
Prex2	13737	9873	6432	7300	6572	4375	7766	9206
A830018L16Rik	156	311	62	119	68	46	124	93
Gm17644	0	0	0	0	0	0	0	0
Sulf1	3301	1929	1036	2642	2543	1669	1778	2061
Slco5a1	256	135	105	101	81	102	68	59
Prdm14	0	5	0	0	0	0	4	1
Ncoa2	3195	2652	1378	2203	2129	2657	3007	2515
Tram1	5837	5962	2330	5474	5318	5085	5803	4423
Lactb2	1645	1916	785	1661	981	738	1199	1028
Xkr9	1	2	0	0	2	5	0	2
Gm5523	0	0	0	0	1	1	1	1
Eya1	333	314	111	293	135	95	190	205
Msc	59	66	24	53	43	38	73	48
Trpa1	0	0	0	0	0	0	4	0
Kcnb2	16	14	3	15	19	6	15	14
Terf1	734	690	308	588	634	563	645	480
Sbspon	142	284	39	52	29	37	81	50
4930444P10Rik	37	111	12	28	42	22	111	15
Rpl7	20190	28255	12018	20883	17333	15611	20470	16223
Rdh10	963	1099	386	832	691	501	963	642
Stau2	331	391	142	280	199	178	291	248
Ube2w	1706	2015	811	1642	1481	1167	1628	1217
Tceb1	1686	2802	1146	1873	1898	1648	1772	1205
D030040B21Rik	0	0	0	0	0	1	0	0
Tmem70	876	1429	571	866	693	731	910	602
Ly96	177	223	108	184	296	269	308	149
